ppl,epoch,step,ppl_epoch
24.910362243652344,0,9,
15.90241813659668,0,19,
,0,22,43.01498794555664
11.907504081726074,1,29,
10.620463371276855,1,39,
,1,45,11.881878852844238
10.16880989074707,2,49,
8.913162231445312,2,59,
,2,68,9.605208396911621
9.11320686340332,3,69,
8.129194259643555,3,79,
9.611955642700195,3,89,
,3,91,8.83320426940918
7.7668914794921875,4,99,
7.578059196472168,4,109,
,4,114,8.227185249328613
7.8242950439453125,5,119,
7.95741605758667,5,129,
,5,137,7.826817989349365
8.195013999938965,6,139,
7.005002498626709,6,149,
7.240108013153076,6,159,
,6,160,7.542849540710449
6.923258304595947,7,169,
7.253311634063721,7,179,
,7,183,7.2215399742126465
6.217905044555664,8,189,
7.227530479431152,8,199,
,8,206,6.974565505981445
7.352079391479492,9,209,
6.781662464141846,9,219,
6.567216873168945,9,229,
,9,229,6.753050327301025
6.854137897491455,10,239,
6.5846147537231445,10,249,
,10,252,6.526149272918701
6.802478790283203,11,259,
6.78009557723999,11,269,
,11,275,6.465638637542725
5.62157678604126,12,279,
6.220433235168457,12,289,
,12,298,6.363211154937744
5.850485324859619,13,299,
5.901966571807861,13,309,
6.59556245803833,13,319,
,13,321,6.22620153427124
5.730934143066406,14,329,
5.827787399291992,14,339,
,14,344,6.1127519607543945
6.5108466148376465,15,349,
5.990279674530029,15,359,
,15,367,6.0759782791137695
5.883961200714111,16,369,
5.814919948577881,16,379,
5.866729259490967,16,389,
,16,390,5.99329948425293
6.383352279663086,17,399,
6.128536701202393,17,409,
,17,413,5.949399471282959
5.468433380126953,18,419,
5.860742092132568,18,429,
,18,436,5.920018672943115
6.4472551345825195,19,439,
5.57710599899292,19,449,
5.201333045959473,19,459,
,19,459,5.853474140167236
5.176481246948242,20,469,
6.537388324737549,20,479,
,20,482,5.75849723815918
5.951315402984619,21,489,
5.6360626220703125,21,499,
,21,505,5.662156105041504
5.283742904663086,22,509,
5.504971504211426,22,519,
,22,528,5.651312828063965
5.2393293380737305,23,529,
5.933427810668945,23,539,
5.8952484130859375,23,549,
,23,551,5.698198318481445
5.451646327972412,24,559,
5.48237419128418,24,569,
,24,574,5.6584577560424805
5.6282453536987305,25,579,
5.776554107666016,25,589,
,25,597,5.628907203674316
5.260507106781006,26,599,
5.608994960784912,26,609,
5.661820411682129,26,619,
,26,620,5.53790283203125
5.25205135345459,27,629,
5.196363925933838,27,639,
,27,643,5.470559120178223
5.57788610458374,28,649,
5.423293113708496,28,659,
,28,666,5.463913917541504
5.53178596496582,29,669,
5.726294994354248,29,679,
6.256097793579102,29,689,
,29,689,5.433470249176025
5.692720413208008,30,699,
5.209953784942627,30,709,
,30,712,5.353734016418457
4.928454399108887,31,719,
5.597857475280762,31,729,
,31,735,5.454655170440674
4.999032974243164,32,739,
5.26464319229126,32,749,
,32,758,5.32427453994751
5.304342269897461,33,759,
5.908801078796387,33,769,
5.228836536407471,33,779,
,33,781,5.507669448852539
4.737375259399414,34,789,
5.43611478805542,34,799,
,34,804,5.374648094177246
